id,name,type,nationality,birth,career,start age,position
Pele,Edson Pele,1,Brasilien,1940,1956,1,1
FC Santos,Santos,2,Brasilien,,,,
New York Cosmos,Cosmos,2,USA,,,,
Brasilien,BRA,3,,,,,
Argentinos Juniors,Argentinos,2,Argentinien,,,,
Maradona,Diego Maradona,1,Argentinien,1960,1976,1,1
Boca Juniors,Boca,2,Argentinien,,,,
FC Barcelona,Barca,2,Spanien,,,,
SSC Neapel,Neapel,2,Italien,,,,
FC Sevilla,Sevilla,2,Spanien,,,,
Newells Old Boys,Old Boys,2,Argentinien,,,,
Argentinien,ARG,3,,,,,
Deportivo Textil Mandiyu,Deportivo Textil,2,Argentinien,,,,
Racing Club,Racing,2,Argentinien,,,,
Al Wasl,Wasl,2,SaudiArabien,,,,
Al Fujairah SC,Al Fujairah,2,SaudiArabien,,,,
Dorados de Sinaloa,Dorados,2,Mexiko,,,,
Gimnasia y Esgrima La Plata,La Plata,2,Argentinien,,,,
Cruyff,Johan Cruyff,1,Niederlande,1947,1964,1,1
Ajax Amsterdam,Ajax,2,Niederlande,,,,
Los Angeles Aztecs,LA Aztecs,2,USA,,,,
Washington Diplomats,Diplomats Washington,2,USA,,,,
UD Levante,Levante,2,Spanien,,,,
Freyenoord Rotterdam,Freyenoord,2,Niederlande,,,,
Niederlande,NDL,3,,,,,
Beckenbauer,Franz Beckenbauer,1,Deutschland,1945,1964,2,2
FC Bayern Munchen,FCB,2,Deutschland,,,,
Hamburger SV,Hamburg,2,Deutschland,,,,
Deutschland,GER,3,,,,,
Olympique Marseille,Marseille,2,Frankreich,,,,
Platini,Michel Platini,1,Frankreich,1955,1972,1,1
AS Nancy,Nancy,2,Frankreich,,,,
AS Saint Etienne,Saint Etienne,2,Frankreich,,,,
Juventus Turin,Juve,2,Italien,,,,
Frankreich,FRA,3,,,,,
Kuwait,KUW,3,,,,,
Stefano,Alfredo Di Stefano,1,Spanien,1926,1945,2,1
River Plate,Plate,2,Argentinien,,,,
CA Huracan,Huracan,2,Argentinien,,,,
CD Los Millonarios,Los Millonarios,2,Kolumbien,,,,
Real Madrid,Real,2,Spanien,,,,
Espanol Barcelona,Espanol,2,Spanien,,,,
Kolumbien,COL,3,,,,,
Spanien,ESP,3,,,,,
FC Elche,Elche,2,Spanien,,,,
FC Valencia,Valencia,2,Spanien,,,,
Sporting Lissabon,Sporting Lisboa,2,Portugal,,,,
Rayo Vallecano,Rayo,2,Spanien,,,,
CD Castellon,Castellon,2,Spanien,,,,
Puskas,Ferenc Puskas,1,Ungarn,1927,1942,1,1
Budapest Honved FC,Honved Budapest,2,Ungarn,,,,
Ungarn,HUN,3,,,,,
Hercules Alicante,Hercules,2,Spanien,,,,
Golden Gate Gales,SF Golden Gates,2,Kanada,,,,
Vancouver Royals,Royals Vancouver,2,Kanada,,,,
CD Alaves,Alaves,2,Spanien,,,,
Panathinaikos Athen,Panathinaikos,2,Griechenland,,,,
Real Murcia,Murcia Real,2,Spanien,,,,
CSD Colo Colo,Colo Colo,2,Chile,,,,
Saudi Arabien,SAU,3,,,,,
AEK Athen,Athen AEK,2,Griechenland,,,,
Al Masry,Masry,2,Agypten,,,,
Club Sol de America,Club Sol,2,Paraguay,,,,
Club Cerro Porteno,Club Cerro,2,Paraguay,,,,
South Melbourne Hellas,Melbourne Hellas,2,Australien,,,,
Best,George Best,1,England,1946,1963,1,1
Manchester United,Man U,2,England,,,,
Stockport Country,Stockport,2,England,,,,
Cork Celtic,Celtic,2,Irland,,,,
FC Fulham,Fulham,2,England,,,,
Fort Lauderdale Strikers,Lauderdale Strikers,2,,,,,
Hibernian Edinburgh,Hibernian,2,,,,,
San Jose Earthquakes,San Jose,2,,,,,
AFC Bournemouth,Bournemouth,2,,,,,
Brisbane Lions,Lions,2,,,,,
Tobermore United,Tobermore Utd,2,,,,,
Nordirland,NRL,3,,,,,
Basten,Marco van Basten,1,Niederlande,1964,1981,1,1
AC Mailand,ACM,2,Italien,,,,
SC Heerenveen,Hererenveen,2,Niederlande,,,,
AZ Alkmaar,Alkmaar,2,Niederlande,,,,
Eusebio,Eusebio da Silva,1,Mosambik,1942,1957,1,1
Portugal,PRT,3,,,,,
SC Lourenco Marques,Lourenco Marques,2,Mosambik,,,,
Benefica Lissabon,Benefica,2,Portugal,,,,
Boston Minutemen,Minutemen,2,USA,,,,
CF Monterrey,Monterrey,2,USA,,,,
Toronto Metros Croatia,Toronto Metros,2,Kanada,,,,
SC Beira Mar,Beira Mar,2,Portugal,,,,
Las Vegas Quicksilvers,LA Quicksilvers,2,USA,,,,
UFCI Tomar,Tomar UFCI,2,Portugal,,,,
New Jersey Americans,NJ Americans,2,USA,,,,
Buffalo Stallions,Buffalo,2,USA,,,,
Jaschin,Lew Jaschin,1,Russland,1929,1950,3,3
Dynamo Moskau,Moskau Dynamo,2,Russland,,,,
Sowjetunion,SWJ,3,,,,,
Charlton,Bobby Charlton,1,England,1937,1954,1,1
Preston North End,Preston NE,2,England,,,,
Waterford FC,Waterford,2,Irland,,,,
England,ENG,3,,,,,
Wigan Athletic,Wigan,2,England,,,,
Ronaldo,Ronaldo de Lima,1,Brasilien,1976,1993,1,1
Cruzeiro Belo Horizonte,Belo Horizonte,2,Brasilien,,,,
PSV Eindhoven,Eindhoven,2,Niederlande,,,,
Inter Mailand,Inter,2,Italien,,,,
Corinthians Sao Paulo,Corinthians SP,2,Brasilien,,,,
Moore,Bobby Moore,1,England,1941,1958,1,2
